LOCAL,TRATA,LINEA,BLOQUE,REND
Estancia,13,L-38BR,2,189.38
Estancia,14,L-39N,2,229.05
Estancia,1,L-18N,3,59.62
Estancia,2,L-242-22BR,3,289.52
Estancia,3,L-242-25BR,3,128.65
Estancia,4,L-242-38B,3,169.88
Estancia,5,L-242-43N,3,147.5
Estancia,6,L-242-7N,3,112.24
Estancia,7,L-242-9BR,3,412.75
Estancia,8,L-246-19N,3,232.63
Estancia,9,L-246-9B,3,152.27
Estancia,10,L-30CP,3,193.34
Estancia,11,L-35CP,3,208.88
Estancia,12,L-37CP,3,153.94
Estancia,13,L-38BR,3,143.22
Estancia,14,L-39N,3,158.74
Estancia,1,L-18N,4,103.49
Estancia,2,L-242-22BR,4,190.06
Estancia,3,L-242-25BR,4,178.3
Estancia,4,L-242-38B,4,141.3
Estancia,5,L-242-43N,4,240.24
Estancia,6,L-242-7N,4,145.57
Estancia,7,L-242-9BR,4,399.55
Estancia,8,L-246-19N,4,190.8
Estancia,9,L-246-9B,4,189.24
Estancia,10,L-30CP,4,167.51
Estancia,11,L-35CP,4,235.17
Estancia,12,L-37CP,4,230.44
Estancia,13,L-38BR,4,156.3
Estancia,14,L-39N,4,124.45
